"CHE-RED-RED-043","Chemistry","Redox Reaction","Oxidation Number","The oxidation number of hydrogen in most compounds is","-1","0","+1","+2","C","Hydrogen usually shows +1 oxidation number."
"CHE-RED-RED-044","Chemistry","Redox Reaction","Oxidation Number","The oxidation number of fluorine in compounds is always","-1","0","+1","+2","A","Fluorine is the most electronegative element and shows -1."
"CHE-RED-RED-045","Chemistry","Redox Reaction","Oxidation Number","The oxidation number of oxygen in H2O2 is","-2","-1","0","+1","B","In peroxides, oxygen has oxidation number -1."
"CHE-RED-RED-046","Chemistry","Redox Reaction","Oxidation Number","The oxidation number of hydrogen in NaH is","-1","0","+1","+2","A","In metal hydrides, hydrogen has oxidation number -1."
"CHE-RED-RED-047","Chemistry","Redox Reaction","Oxidation Number","The sum of oxidation numbers in a neutral molecule is","Equal to charge","Zero","Always positive","Always negative","B","A neutral compound has total oxidation number zero."
"CHE-RED-RED-048","Chemistry","Redox Reaction","Oxidation Number","The sum of oxidation numbers in a polyatomic ion is","Zero","Equal to the charge of ion","Always +1","Always -1","B","For ions, sum of oxidation numbers equals ionic charge."
"CHE-RED-RED-049","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of sulfur in H2S is","-2","0","+2","+6","A","2(+1) + x = 0, so x = -2."
"CHE-RED-RED-050","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of sulfur in SO2 is","-2","+2","+4","+6","C","x + 2(-2) = 0, so x = +4."
"CHE-RED-RED-051","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of sulfur in SO3 is","0","+3","+4","+6","D","x + 3(-2) = 0, so x = +6."
"CHE-RED-RED-052","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of nitrogen in NH3 is","-3","0","+3","+5","A","x + 3(+1) = 0, so x = -3."
"CHE-RED-RED-053","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of nitrogen in NO is","-2","+1","+2","+4","C","x + (-2) = 0, so x = +2."
"CHE-RED-RED-054","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of nitrogen in NO2 is","-4","+2","+4","+5","C","x + 2(-2) = 0, so x = +4."
"CHE-RED-RED-055","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of nitrogen in HNO3 is","-3","+3","+5","+6","C","(+1) + x + 3(-2) = 0, so x = +5."
"CHE-RED-RED-056","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in HCl is","-1","0","+1","+5","A","Hydrogen is +1, so chlorine is -1."
"CHE-RED-RED-057","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in HClO is","-1","+1","+3","+5","B","(+1) + x + (-2) = 0, so x = +1."
"CHE-RED-RED-058","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in HClO3 is","-1","+1","+3","+5","D","(+1) + x + 3(-2) = 0, so x = +5."
"CHE-RED-RED-059","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in HClO4 is","-1","+3","+5","+7","D","(+1) + x + 4(-2) = 0, so x = +7."
"CHE-RED-RED-060","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of manganese in KMnO4 is","+2","+4","+6","+7","D","(+1) + x + 4(-2) = 0, so x = +7."
"CHE-RED-RED-061","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of manganese in MnO2 is","+2","+3","+4","+7","C","x + 2(-2) = 0, so x = +4."
"CHE-RED-RED-062","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chromium in K2Cr2O7 is","+3","+4","+6","+7","C","2(+1) + 2x + 7(-2) = 0, so x = +6."
"CHE-RED-RED-063","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chromium in Cr2O3 is","+2","+3","+4","+6","B","2x + 3(-2) = 0, so x = +3."
"CHE-RED-RED-064","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of carbon in CH4 is","-4","-2","+2","+4","A","x + 4(+1) = 0, so x = -4."
"CHE-RED-RED-065","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of carbon in CO2 is","0","+2","+4","-4","C","x + 2(-2) = 0, so x = +4."
"CHE-RED-RED-066","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of carbon in CO is","-2","0","+2","+4","C","x + (-2) = 0, so x = +2."
"CHE-RED-RED-067","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of iron in FeCl3 is","+1","+2","+3","+4","C","Each Cl is -1; Fe must be +3."
"CHE-RED-RED-068","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of iron in FeSO4 is","+1","+2","+3","+6","B","SO4 is -2, so Fe is +2."
"CHE-RED-RED-069","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of phosphorus in H3PO4 is","+1","+3","+5","+7","C","3(+1) + x + 4(-2) = 0, so x = +5."
"CHE-RED-RED-070","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of phosphorus in PH3 is","-3","0","+3","+5","A","x + 3(+1) = 0, so x = -3."
"CHE-RED-RED-071","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of sulfur in SO4^2- is","+2","+4","+6","+8","C","x + 4(-2) = -2, so x = +6."
"CHE-RED-RED-072","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of nitrogen in NO3^- is","+3","+4","+5","+6","C","x + 3(-2) = -1, so x = +5."
"CHE-RED-RED-073","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of nitrogen in NO2^- is","+1","+2","+3","+5","C","x + 2(-2) = -1, so x = +3."
"CHE-RED-RED-074","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in ClO3^- is","+1","+3","+5","+7","C","x + 3(-2) = -1, so x = +5."
"CHE-RED-RED-075","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in ClO4^- is","+1","+3","+5","+7","D","x + 4(-2) = -1, so x = +7."
"CHE-RED-RED-076","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of chlorine in ClO^- is","-1","+1","+3","+5","B","x + (-2) = -1, so x = +1."
"CHE-RED-RED-077","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of iodine in IO3^- is","+1","+3","+5","+7","C","x + 3(-2) = -1, so x = +5."
"CHE-RED-RED-078","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of sulfur in S2O3^2- is","+1","+2","+3","+4","B","2x + 3(-2) = -2, so average x = +2."
"CHE-RED-RED-079","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of oxygen in OF2 is","-2","-1","+1","+2","D","Fluorine is -1, so oxygen is +2."
"CHE-RED-RED-080","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of oxygen in KO2 is","-2","-1","-1/2","0","C","In superoxides, oxygen has average oxidation number -1/2."
"CHE-RED-RED-081","Chemistry","Redox Reaction","Oxidation Number","Increase in oxidation number indicates","Reduction","Oxidation","Neutralization","Hydration","B","Oxidation involves increase in oxidation number."
"CHE-RED-RED-082","Chemistry","Redox Reaction","Oxidation Number","Decrease in oxidation number indicates","Oxidation","Reduction","Precipitation","Sublimation","B","Reduction involves decrease in oxidation number."
"CHE-RED-RED-083","Chemistry","Redox Reaction","Oxidation Number","In Fe2+ → Fe3+, oxidation number of iron","Decreases by 1","Increases by 1","Becomes zero","Does not change","B","Fe changes from +2 to +3, so it is oxidized."
"CHE-RED-RED-084","Chemistry","Redox Reaction","Oxidation Number","In MnO4^- → Mn2+, manganese is","Oxidized","Reduced","Neither oxidized nor reduced","Disproportionated only","B","Mn changes from +7 to +2, so it is reduced."
"CHE-RED-RED-085","Chemistry","Redox Reaction","Oxidation Number","In Cr2O7^2- → Cr3+, chromium undergoes","Oxidation","Reduction","No change","Hydrolysis","B","Cr changes from +6 to +3, so reduction occurs."
"CHE-RED-RED-086","Chemistry","Redox Reaction","Oxidation Number","In SO2 → SO4^2-, sulfur is","Oxidized","Reduced","Unchanged","Converted to metal","A","Sulfur changes from +4 to +6, so it is oxidized."
"CHE-RED-RED-087","Chemistry","Redox Reaction","Oxidation Number","In H2S → S, sulfur is","Reduced from -2 to 0","Oxidized from -2 to 0","Reduced from 0 to -2","Unchanged","B","Oxidation number increases from -2 to 0."
"CHE-RED-RED-088","Chemistry","Redox Reaction","Oxidation Number","In Cl2 → 2Cl^-, chlorine is","Oxidized","Reduced","Both oxidized and reduced equally","Not involved in redox","B","Chlorine changes from 0 to -1."
"CHE-RED-RED-089","Chemistry","Redox Reaction","Oxidation Number","In 2Cl^- → Cl2, chlorine is","Reduced","Oxidized","Neutralized","Hydrolyzed","B","Chlorine changes from -1 to 0."
"CHE-RED-RED-090","Chemistry","Redox Reaction","Oxidation Number","Which species has nitrogen in the highest oxidation state?","NH3","NO","NO2","HNO3","D","Nitrogen is +5 in HNO3, highest among the options."
"CHE-RED-RED-091","Chemistry","Redox Reaction","Oxidation Number","Which species has sulfur in the lowest oxidation state?","H2S","SO2","SO3","H2SO4","A","Sulfur is -2 in H2S."
"CHE-RED-RED-092","Chemistry","Redox Reaction","Oxidation Number","Which compound contains chromium in +6 oxidation state?","CrCl3","Cr2O3","K2Cr2O7","CrO","C","Chromium is +6 in potassium dichromate."
"CHE-RED-RED-093","Chemistry","Redox Reaction","Oxidation Number","Which compound contains manganese in +7 oxidation state?","MnO","MnO2","KMnO4","MnCl2","C","Manganese is +7 in KMnO4."
"CHE-RED-RED-094","Chemistry","Redox Reaction","Oxidation Number","Oxidation number is a useful concept mainly to identify","Atomic mass","Redox changes","Molecular shape","Isotopes","B","Change in oxidation number helps identify oxidation and reduction."
"CHE-RED-RED-095","Chemistry","Redox Reaction","Oxidation Number","In Na2O, oxidation number of sodium is","-1","0","+1","+2","C","Oxygen is -2, so each sodium is +1."
"CHE-RED-RED-096","Chemistry","Redox Reaction","Oxidation Number","In CaH2, oxidation number of hydrogen is","-1","0","+1","+2","A","Hydrogen is -1 in metallic hydrides."
"CHE-RED-RED-097","Chemistry","Redox Reaction","Oxidation Number","In Al2O3, oxidation number of aluminium is","+1","+2","+3","+6","C","2x + 3(-2) = 0, so x = +3."
"CHE-RED-RED-098","Chemistry","Redox Reaction","Oxidation Number","In Na2S2O3, average oxidation number of sulfur is","-2","+2","+4","+6","B","2(+1) + 2x + 3(-2) = 0, so x = +2."
"CHE-RED-RED-099","Chemistry","Redox Reaction","Oxidation Number","In BaO2, oxidation number of oxygen is","-2","-1","0","+1","B","BaO2 is a peroxide, so oxygen is -1."
"CHE-RED-RED-100","Chemistry","Redox Reaction","Oxidation Number","Which oxidation number change represents oxidation?","+5 to +2","+2 to 0","-1 to -2","+2 to +3","D","Increase in oxidation number represents oxidation."
"CHE-RED-RED-101","Chemistry","Redox Reaction","Oxidation Number","Which oxidation number change represents reduction?","0 to +2","+3 to +5","+7 to +2","-2 to 0","C","Decrease in oxidation number represents reduction."
"CHE-RED-RED-102","Chemistry","Redox Reaction","Oxidation Number","A reaction in which oxidation number does not change is generally","Redox reaction","Not a redox reaction","Always combustion","Always displacement","B","Redox reactions involve change in oxidation number."
"CHE-RED-RED-103","Chemistry","Redox Reaction","Oxidation Number","In CaCO3, oxidation number of carbon is","+2","+4","+6","-4","B","(+2) + x + 3(-2) = 0, so carbon is +4."
"CHE-RED-RED-104","Chemistry","Redox Reaction","Oxidation Number","In C2H6, average oxidation number of carbon is","-3","-2","+2","+3","A","2x + 6(+1) = 0, so x = -3."
"CHE-RED-RED-105","Chemistry","Redox Reaction","Oxidation Number","In C2H4, average oxidation number of carbon is","-4","-2","0","+2","B","2x + 4(+1) = 0, so x = -2."
"CHE-RED-RED-106","Chemistry","Redox Reaction","Oxidation Number","In C2H2, average oxidation number of carbon is","-1","0","+1","+2","A","2x + 2(+1) = 0, so x = -1."
"CHE-RED-RED-107","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of carbon in HCOOH is","+1","+2","+3","+4","B","2H give +2, 2O give -4; carbon is +2."
"CHE-RED-RED-108","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of carbon in HCHO is","0","+1","+2","+4","A","2H give +2, O gives -2, so carbon is 0."
"CHE-RED-RED-109","Chemistry","Redox Reaction","Oxidation Number","Oxidation number of carbon in CH3OH is","-4","-2","0","+2","B","x + 4(+1) + (-2) = 0, so x = -2."
"CHE-RED-RED-110","Chemistry","Redox Reaction","Oxidation Number","Which species contains chlorine in zero oxidation state?","HCl","NaCl","Cl2","HClO","C","Elemental chlorine has oxidation number zero."
"CHE-RED-RED-111","Chemistry","Redox Reaction","Identifying Redox Reaction","Which of the following is a redox reaction?","HCl + NaOH → NaCl + H2O","AgNO3 + NaCl → AgCl + NaNO3","Zn + CuSO4 → ZnSO4 + Cu","BaCl2 + Na2SO4 → BaSO4 + 2NaCl","C","Zn is oxidized and Cu2+ is reduced."
"CHE-RED-RED-112","Chemistry","Redox Reaction","Identifying Redox Reaction","Which of the following is not a redox reaction?","2Mg + O2 → 2MgO","Zn + CuSO4 → ZnSO4 + Cu","HCl + NaOH → NaCl + H2O","Cl2 + 2KI → 2KCl + I2","C","Neutralization has no change in oxidation number."
"CHE-RED-RED-113","Chemistry","Redox Reaction","Identifying Redox Reaction","In 2Na + Cl2 → 2NaCl, sodium is","Reduced","Oxidized","Neither oxidized nor reduced","Disproportionated","B","Sodium changes from 0 to +1."
"CHE-RED-RED-114","Chemistry","Redox Reaction","Identifying Redox Reaction","In 2Na + Cl2 → 2NaCl, chlorine is","Oxidized","Reduced","Neither oxidized nor reduced","Hydrolyzed","B","Chlorine changes from 0 to -1."
"CHE-RED-RED-115","Chemistry","Redox Reaction","Identifying Redox Reaction","In Cl2 + 2KI → 2KCl + I2, iodide ion is","Oxidized","Reduced","Unchanged","Hydrated","A","Iodide changes from -1 to 0."
"CHE-RED-RED-116","Chemistry","Redox Reaction","Identifying Redox Reaction","In Cl2 + 2KI → 2KCl + I2, chlorine acts as","Reducing agent","Oxidizing agent","Acid","Base","B","Chlorine oxidizes iodide and itself gets reduced."
"CHE-RED-RED-117","Chemistry","Redox Reaction","Identifying Redox Reaction","In Fe + CuSO4 → FeSO4 + Cu, iron acts as","Oxidizing agent","Reducing agent","Catalyst","Indicator","B","Iron reduces Cu2+ and itself gets oxidized."
"CHE-RED-RED-118","Chemistry","Redox Reaction","Identifying Redox Reaction","In the reaction 2FeCl2 + Cl2 → 2FeCl3, Fe2+ is","Oxidized","Reduced","Unchanged","Disproportionated","A","Fe changes from +2 to +3."
"CHE-RED-RED-119","Chemistry","Redox Reaction","Identifying Redox Reaction","In the reaction 2FeCl2 + Cl2 → 2FeCl3, Cl2 is","Oxidized","Reduced","Unchanged","Neutralized","B","Chlorine changes from 0 to -1."
"CHE-RED-RED-120","Chemistry","Redox Reaction","Identifying Redox Reaction","Which of the following involves oxidation of carbon?","CO2 to CO","CO to CO2","CaCO3 to CaO","Na2CO3 to NaHCO3","B","Carbon changes from +2 in CO to +4 in CO2."
